,0
2790,40
2791,30
2792,30
2793,30
2794,30
2795,30
2796,30
2797,30
2798,30
2799,30
2800,30
2801,30
2802,30
2803,30
2804,27
2805,22
2806,19
2807,14
2808,11
2809,4
2810,2
2811,177
2812,0
2813,1
2814,6
2815,12
2816,15
2817,18
2818,22
2819,24
2820,26
2821,26
2822,26
2823,26
2824,26
2825,26
2826,26
2827,28
2828,29
2829,29
2830,30
2831,30
2832,29
2833,29
2834,29
2835,29
2836,29
2837,29
2838,29
2839,30
2840,30
2841,30
2842,30
2843,30
2844,30
2845,30
2846,29
2847,29
2848,29
2849,29
2850,29
2851,28
2852,27
2853,27
2854,27
2855,27
2856,26
2857,30
2858,31
2859,30
2860,32
2861,30
2862,30
2863,28
2864,28
2865,27
2866,27
2867,26
2868,26
2869,26
2870,26
2871,26
2872,26
2873,27
2874,27
2875,27
2876,27
2877,27
2878,28
2879,27
2880,26
2881,27
2882,27
2883,27
2884,27
2885,26
2886,26
2887,25
2888,25
2889,25
2890,25
2891,25
2892,26
2893,27
2894,28
2895,28
2896,28
2897,27
2898,27
2899,27
2900,27
2901,27
2902,27
2903,27
2904,27
2905,27
2906,27
2907,27
2908,26
2909,25
